"optimization_strategy","publisher_tier","content_category","device_type","inventory_size","floor_price_usd","average_bid_usd","fill_rate","revenue_improvement_percent","latency_impact_ms","user_experience_score","implementation_complexity","a_b_test_confidence"
"dynamic_pricing","mid_tier","IAB1-2","mobile","380000","2.25","3.15","0.85","0.15","18","7.2","medium","0.91"
"dynamic_pricing","mid_tier","IAB1-2","desktop","285000","3.00","4.35","0.87","0.18","21","7.5","medium","0.93"
"dynamic_pricing","mid_tier","IAB1-2","tablet","195000","2.75","3.85","0.86","0.16","19","7.3","medium","0.92"
"header_bidding","mid_tier","IAB1-2","mobile","380000","2.25","3.55","0.88","0.25","48","6.9","high","0.94"
"header_bidding","mid_tier","IAB1-2","desktop","285000","3.00","4.85","0.90","0.28","55","7.2","high","0.96"
"header_bidding","mid_tier","IAB1-2","tablet","195000","2.75","4.25","0.89","0.26","51","7.0","high","0.95"
"unified_auction","mid_tier","IAB1-2","mobile","380000","2.25","3.75","0.91","0.22","28","7.8","high","0.93"
"unified_auction","mid_tier","IAB1-2","desktop","285000","3.00","5.15","0.93","0.26","31","8.1","high","0.95"
"unified_auction","mid_tier","IAB1-2","tablet","195000","2.75","4.45","0.92","0.24","29","7.9","high","0.94"
"dynamic_pricing","premium","IAB4-3","mobile","185000","4.50","6.75","0.94","0.21","16","8.4","medium","0.96"
"dynamic_pricing","premium","IAB4-3","desktop","135000","6.00","9.15","0.96","0.25","19","8.7","medium","0.98"
"dynamic_pricing","premium","IAB4-3","tablet","92000","5.25","8.05","0.95","0.23","17","8.5","medium","0.97"
"header_bidding","premium","IAB4-3","mobile","185000","4.50","7.55","0.97","0.38","47","8.1","high","0.99"
"header_bidding","premium","IAB4-3","desktop","135000","6.00","10.85","0.98","0.45","54","8.4","high","0.99"
"header_bidding","premium","IAB4-3","tablet","92000","5.25","9.25","0.97","0.41","50","8.2","high","0.99"
"unified_auction","premium","IAB4-3","mobile","185000","4.50","7.95","0.98","0.32","27","8.9","high","0.97"
"unified_auction","premium","IAB4-3","desktop","135000","6.00","11.35","0.99","0.38","30","9.2","high","0.99"
"unified_auction","premium","IAB4-3","tablet","92000","5.25","9.75","0.98","0.35","28","9.0","high","0.98"
"audience_targeting","premium","IAB4-3","mobile","185000","4.50","8.25","0.91","0.42","37","8.3","high","0.99"
"audience_targeting","premium","IAB4-3","desktop","135000","6.00","11.75","0.93","0.48","40","8.6","high","0.99"
"audience_targeting","premium","IAB4-3","tablet","92000","5.25","10.15","0.92","0.45","38","8.4","high","0.99"
"dynamic_pricing","premium","IAB13-6","mobile","125000","6.00","9.25","0.96","0.24","17","8.6","medium","0.97"
"dynamic_pricing","premium","IAB13-6","desktop","95000","8.50","13.15","0.97","0.28","20","8.9","medium","0.99"
"dynamic_pricing","premium","IAB13-6","tablet","68000","7.75","12.05","0.96","0.26","18","8.7","medium","0.98"
"header_bidding","premium","IAB13-6","mobile","125000","6.00","10.35","0.98","0.42","49","8.4","high","0.99"
"header_bidding","premium","IAB13-6","desktop","95000","8.50","15.25","0.99","0.48","56","8.7","high","0.99"
"header_bidding","premium","IAB13-6","tablet","68000","7.75","13.65","0.98","0.45","52","8.5","high","0.99"
"unified_auction","premium","IAB13-6","mobile","125000","6.00","10.85","0.99","0.35","29","9.1","high","0.98"
"unified_auction","premium","IAB13-6","desktop","95000","8.50","15.95","0.99","0.41","32","9.4","high","0.99"
"unified_auction","premium","IAB13-6","tablet","68000","7.75","14.25","0.99","0.38","30","9.2","high","0.99"
"demand_shaping","premium","IAB13-6","mobile","125000","6.00","9.85","0.97","0.32","23","8.8","medium","0.97"
"demand_shaping","premium","IAB13-6","desktop","95000","8.50","14.45","0.98","0.36","25","9.1","medium","0.99"
"demand_shaping","premium","IAB13-6","tablet","68000","7.75","12.95","0.97","0.34","24","8.9","medium","0.98 "
