"Timecode_SMPTE","Timestamp_Millis","Frame_Index","Type","Text","Confidence","Left","Top","Width","Height","Event_Name","City","Country","Event_Date"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.94355273","0.82688874","0.3752831","0.062032986","0.026746538","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.79303783","0.16987675","0.051903248","0.18357393","0.076114155","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","federal internationale de iautomobile","0.91651976","0.26259238","0.20307204","0.0499022","0.063175544","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.8842393","0.6831667","0.5577199","0.032893945","0.01886923","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.91982484","0.005915699","0.63473576","0.027042324","0.05769098","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:53:00","113300","5666","LOGOS","lenovo","0.95183223","0.7702461","0.4345715","0.13588853","0.055153612","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:53:00","113300","5666","LOGOS","lenovo","0.94948107","0.54299074","0.4455546","0.13627562","0.054494053","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:53:00","113300","5666","LOGOS","lenovo","0.9496751","0.31879133","0.46117693","0.13471122","0.052924346","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:53:00","113300","5666","LOGOS","max f1","0.7955609","0.07195081","0.049542364","0.06896233","0.03436518","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:53:00","113300","5666","LOGOS","lenovo","0.9194001","0.91494447","0.52142876","0.06468811","0.027521346","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.77672905","0.46655354","0.18360098","0.04628811","0.060843658","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.79286826","0.54010046","0.22939467","0.048469402","0.06361025","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.85252273","0.39319804","0.14028223","0.04610827","0.05934359","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.8396707","0.61706257","0.27968737","0.05065303","0.064675905","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.8254204","0.78581846","0.38554534","0.056358956","0.069360055","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.7924695","0.6987593","0.33107182","0.052818157","0.06695565","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.8378848","0.3208875","0.098857254","0.045354225","0.056934495","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.86293757","0.2477422","0.05925601","0.045331262","0.055446703","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","max f1","0.7921281","0.07206201","0.049174834","0.068572536","0.034849163","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.8161297","0.87875974","0.4418143","0.061491203","0.0707289","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","pirelli","0.82570785","0.17595474","0.01939984","0.04483371","0.05505956","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:04:25","124800","6241","LOGOS","visa","0.79847467","0.9203289","0.8047483","0.02058897","0.03457209","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:18:00","138280","6915","LOGOS","max f1","0.77704144","0.071798235","0.04963892","0.06890495","0.03439197","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:30:00","150440","7523","LOGOS","max f1","0.7783455","0.07193535","0.049426593","0.06884975","0.034627866","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:43:00","163440","8173","LOGOS","max f1","0.7822256","0.07188862","0.049386434","0.06881203","0.03453365","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:43:00","163440","8173","LOGOS","lenovo","0.90115076","0.18454525","0.68244964","0.026437711","0.042881478","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:49:00","169440","8473","LOGOS","pirelli","0.8257845","0.8505232","0.23789889","0.045977972","0.034080207","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:49:00","169440","8473","LOGOS","pirelli","0.83153045","0.64694417","0.24338038","0.04221363","0.031206999","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:49:00","169440","8473","LOGOS","pirelli","0.854373","0.77972233","0.23871733","0.04489236","0.03374833","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:49:00","169440","8473","LOGOS","pirelli","0.8427518","0.51850545","0.24677959","0.041082382","0.031566367","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:49:00","169440","8473","LOGOS","pirelli","0.84506637","0.7105051","0.24138992","0.04292488","0.032696363","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:49:00","169440","8473","LOGOS","pirelli","0.85073394","0.92322624","0.23836172","0.04837084","0.0337062","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:56:00","176440","8823","LOGOS","max f1","0.7670992","0.07173025","0.049523175","0.0689583","0.034495845","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:02:56:00","176440","8823","LOGOS","tag heuer","0.9102156","0.21740098","0.845207","0.09966767","0.025308566","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","signify","0.8823216","0.30842942","0.8791355","0.12604308","0.04912762","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","max f1","0.7472426","0.07189654","0.04938019","0.06892262","0.034650035","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","teamviewer","0.7712715","0.35405278","0.6906387","0.07802753","0.16907035","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","salesforce","0.7400837","0.46518844","0.1070766","0.06770067","0.029644044","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","salesforce","0.7437829","0.30148178","0.12268315","0.063037015","0.027265644","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","louis vuitton","0.8838526","0.80202806","0.112023","0.13864107","0.03568948","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","salesforce","0.77057046","0.18603817","0.13309658","0.068324365","0.028674476","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","marriott bonvoy","0.7502135","0.17519179","0.7895969","0.097268544","0.20941077","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","valvoline","0.7648539","0.35107964","0.16467512","0.035374306","0.014212439","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:17:25","197960","9899","LOGOS","signify","0.75126326","0.7602113","0.86904365","0.09007101","0.045296393","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:29:25","209680","10485","LOGOS","max f1","0.7622838","0.07210422","0.04947605","0.06858115","0.034312174","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:45:00","225020","11252","LOGOS","max f1","0.78374577","0.07194462","0.049461626","0.0691209","0.034460396","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:03:45:00","225020","11252","LOGOS","oracle","0.8679047","0.68578637","0.48448223","0.06623421","0.018118244","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:02:25","242520","12127","LOGOS","max f1","0.7778027","0.20409532","0.3870236","0.58905816","0.27284813","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:22:25","262680","13135","LOGOS","max f1","0.7592787","0.07163353","0.049485862","0.06911827","0.034559388","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:22:25","262680","13135","LOGOS","lenovo","0.951864","0.7385996","0.08171846","0.03694854","0.015312953","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:22:25","262680","13135","LOGOS","lenovo","0.95516473","0.78773195","0.08075136","0.03758373","0.015214173","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:22:25","262680","13135","LOGOS","lenovo","0.953745","0.689712","0.08164025","0.03656764","0.014939324","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:22:25","262680","13135","LOGOS","louis vuitton","0.7571159","0.63907206","0.08734163","0.03215394","0.012269248","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:22:25","262680","13135","LOGOS","lenovo","0.8171409","0.19031411","0.8991304","0.013214338","0.039656743","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:29:25","269680","13485","LOGOS","max f1","0.791094","0.071933575","0.049603276","0.068905324","0.034358297","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","lenovo","0.9493717","0.62040466","0.18087451","0.13401318","0.052530352","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","lenovo","0.95172274","0.79895926","0.1759219","0.13649312","0.05333569","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","max f1","0.7724662","0.07198796","0.04945763","0.068761185","0.034294292","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","lenovo","0.94847506","0.784567","0.3779909","0.056914806","0.027745353","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","pirelli","0.847814","0.7718502","0.2626549","0.0673645","0.029404005","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","lenovo","0.9091109","0.95089215","0.37446523","0.048894025","0.024344634","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:46:00","286160","14309","LOGOS","federal internationale de iautomobile","0.9183255","0.7031723","0.2723607","0.028006744","0.036962934","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","cnbc","0.81014144","0.7711848","0.6482694","0.09615555","0.09394548","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","dp world","0.8353003","0.37490338","0.54147637","0.10726819","0.08328213","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","google chrome","0.86754566","0.67751557","0.54462284","0.13079448","0.08535169","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","max f1","0.7691268","0.07166986","0.04944014","0.06916991","0.03469349","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","fxpro","0.9087134","0.6989261","0.7041421","0.083146095","0.03176202","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","oxo","0.76234883","0.5610157","0.5697255","0.03946395","0.033061516","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","okx","0.8829034","0.88922215","0.64184946","0.11065893","0.05380516","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","tag heuer","0.9098759","0.21826577","0.8461924","0.09840634","0.023300765","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:04:57:25","297660","14884","LOGOS","optimum nutrition","0.84882957","0.33786318","0.69088525","0.030298924","0.05053431","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
