"segment_id","campaign_id","month","impressions","clicks","conversions","spend","ctr","cvr","cpc","cpa","roas","average_order_value","lifetime_value"
"new_parent","camp-001","2025-03","820000","20500","1230","30750","0.025","0.06","1.5","25","4.75","118.5","480"
"outdoor_enthusiast","camp-002","2025-03","1150000","34500","1380","51750","0.03","0.04","1.5","37.5","3.55","133.75","675"
"senior_citizen","camp-003","2025-03","630000","15750","630","47250","0.025","0.04","3","75","2.62","197.5","1225"
"news_reader","camp-004","2025-03","920000","27600","828","55200","0.03","0.03","2","66.67","2.45","148.5","480"
"sports_enthusiast","camp-11111","2025-04","950000","28500","1140","35625","0.03","0.04","1.25","31.25","3.85","120.75","485"
"tech_enthusiast","camp-22222","2025-04","750000","22500","900","56250","0.03","0.04","2.5","62.5","2.88","180","680"
"fashion_enthusiast","camp-33333","2025-04","1650000","66000","3300","99000","0.04","0.05","1.5","30","4.2","126","425"
"home_enthusiast","camp-44444","2025-04","850000","25500","1020","38250","0.03","0.04","1.5","37.5","3.4","127.5","485"
"travel_enthusiast","camp-55555","2025-04","1100000","44000","1760","66000","0.04","0.04","1.5","37.5","4","150","850"
"finance_enthusiast","camp-66666","2025-04","650000","16250","650","48750","0.025","0.04","3","75","2.67","200","1185"
"gaming_enthusiast","camp-77777","2025-04","1850000","92500","3700","92500","0.05","0.04","1","25","4.8","120","325"
"health_enthusiast","camp-88888","2025-04","1200000","36000","1800","54000","0.03","0.05","1.5","30","4","120","485"
"auto_intender","camp-99999","2025-04","850000","25500","510","76500","0.03","0.02","3","150","2.12","318","2185"
"beauty_enthusiast","camp-001","2025-04","1450000","58000","2320","87000","0.04","0.04","1.5","37.5","3.47","130.13","425"
"food_enthusiast","camp-002","2025-04","1950000","97500","4875","146250","0.05","0.05","1.5","30","4.33","129.9","385"
"pet_owner","camp-003","2025-04","950000","28500","1710","42750","0.03","0.06","1.5","25","4.8","120","685"
"deal_seeker","camp-004","2025-04","2650000","132500","6625","198750","0.05","0.05","1.5","30","4.17","125.1","325"
"tech_early_adopter","camp-001","2025-04","650000","19500","975","58500","0.03","0.05","3","60","2.92","175.2","885"
"crypto_investor","camp-002","2025-04","780000","23400","936","117000","0.03","0.04","5","125","2.34","292.5","1685"
"entertainment_seeker","camp-003","2025-04","1550000","77500","3100","116250","0.05","0.04","1.5","37.5","3.73","140.25","525"
"sustainability_conscious","camp-004","2025-04","950000","38000","1520","76000","0.04","0.04","2","50","3.42","171","785"
"luxury_consumer","camp-001","2025-04","350000","10500","420","70000","0.03","0.04","6.67","166.67","2.14","357","3185"
"student","camp-002","2025-04","1250000","37500","1875","112500","0.03","0.05","3","60","2.67","160","425"
"new_parent","camp-003","2025-04","750000","18750","1125","28125","0.025","0.06","1.5","25","5","125","585"
"outdoor_enthusiast","camp-004","2025-04","1050000","31500","1260","47250","0.03","0.04","1.5","37.5","3.81","142.5","785"
"senior_citizen","camp-001","2025-04","550000","13750","550","41250","0.025","0.04","3","75","2.8","210","1485"
"news_reader","camp-002","2025-04","850000","25500","765","51000","0.03","0.03","2","66.67","2.65","158.4","585"
