"bid_request_id","timestamp","advertiser_id","campaign_id","audience_segment","content_category","device_type","geo_region","bid_price","win_flag","clearing_price","impression_served","click_recorded","conversion_recorded","publisher_id","brand_safety_score"
"bid-054","2025-05-02T10:52:42Z","adv-004","camp-97531","travel_enthusiast","IAB20","desktop","IL","4.02","1","4.02","1","1","1","pub-78901","0.94"
"bid-055","2025-05-02T10:55:05Z","adv-005","camp-24601","finance_enthusiast","IAB13","mobile","NY","4.82","1","4.82","1","0","0","pub-67890","0.88"
"bid-056","2025-05-02T10:57:28Z","adv-006","camp-86420","gaming_enthusiast","IAB9","desktop","CA","2.82","1","2.82","1","1","0","pub-56789","0.91"
"bid-057","2025-05-02T10:59:45Z","adv-007","camp-35791","health_enthusiast","IAB7","mobile","WA","3.42","1","3.42","1","1","1","pub-45678","0.96"
"bid-058","2025-05-02T11:02:12Z","adv-008","camp-80246","auto_intender","IAB2","tablet","TX","5.35","1","5.35","1","0","0","pub-12345","0.91"
"bid-059","2025-05-02T11:04:33Z","adv-009","camp-15937","beauty_enthusiast","IAB18","mobile","FL","3.82","1","3.82","1","1","1","pub-89012","0.97"
"bid-060","2025-05-02T11:06:55Z","adv-010","camp-11111","food_enthusiast","IAB8","desktop","CA","3.02","1","3.02","1","1","0","pub-34567","0.94"
"bid-061","2025-05-02T14:22:18Z","adv-023","camp-22222","pet_owner","IAB16","mobile","TX","3.48","1","3.48","1","0","0","pub-90123","0.92"
"bid-062","2025-05-02T14:24:42Z","adv-024","camp-33333","deal_seeker","IAB9","tablet","NY","2.92","1","2.92","1","1","1","pub-78901","0.89"
"bid-063","2025-05-02T14:27:05Z","adv-025","camp-44444","tech_early_adopter","IAB19","desktop","WA","4.52","1","4.52","1","1","0","pub-67890","0.9"
"bid-064","2025-05-02T14:29:28Z","adv-026","camp-55555","crypto_investor","IAB13","mobile","NY","6.52","1","6.52","1","0","0","pub-67890","0.87"
"bid-065","2025-05-02T14:31:45Z","adv-027","camp-66666","entertainment_seeker","IAB1","desktop","CA","3.25","1","3.25","1","1","0","pub-78901","0.93"
"bid-066","2025-05-02T14:34:12Z","adv-028","camp-77777","sustainability_conscious","IAB14","tablet","OR","3.95","1","3.95","1","1","1","pub-01234","0.98"
"bid-067","2025-05-02T14:36:33Z","adv-029","camp-88888","luxury_consumer","IAB18","mobile","NY","8.88","1","8.88","1","1","0","pub-89012","0.97"
"bid-068","2025-05-02T14:38:55Z","adv-030","camp-99999","student","IAB5","desktop","MA","4.48","1","4.48","1","0","0","pub-12345","0.92"
"bid-069","2025-05-02T14:41:18Z","adv-031","camp-12345","sports_enthusiast","IAB17","mobile","CA","3.42","1","3.42","1","1","1","pub-12345","0.94"
"bid-070","2025-05-02T14:43:42Z","adv-032","camp-67890","tech_enthusiast","IAB4","tablet","NY","3.78","1","3.78","1","0","0","pub-67890","0.88"
"bid-071","2025-05-03T09:18:25Z","adv-001","camp-24680","fashion_enthusiast","IAB9","mobile","FL","4.35","1","4.35","1","1","1","pub-89012","0.96"
"bid-072","2025-05-03T09:20:48Z","adv-002","camp-13579","home_enthusiast","IAB6","desktop","TX","3.22","1","3.22","1","0","0","pub-45678","0.93"
"bid-073","2025-05-03T09:23:12Z","adv-003","camp-97531","travel_enthusiast","IAB20","tablet","IL","4.08","1","4.08","1","1","0","pub-78901","0.94"
"bid-074","2025-05-03T09:25:35Z","adv-004","camp-24601","finance_enthusiast","IAB13","mobile","NY","4.88","1","4.88","1","0","0","pub-67890","0.87"
"bid-075","2025-05-03T09:27:58Z","adv-005","camp-86420","gaming_enthusiast","IAB9","desktop","CA","2.88","1","2.88","1","1","1","pub-56789","0.9"
"bid-076","2025-05-03T09:30:22Z","adv-006","camp-35791","health_enthusiast","IAB7","tablet","WA","3.48","1","3.48","1","1","0","pub-45678","0.95"
"bid-077","2025-05-03T09:32:45Z","adv-007","camp-80246","auto_intender","IAB2","mobile","TX","5.42","1","5.42","1","0","0","pub-12345","0.92"
"bid-078","2025-05-03T09:35:08Z","adv-008","camp-15937","beauty_enthusiast","IAB18","desktop","FL","3.88","1","3.88","1","1","1","pub-89012","0.97"
"bid-079","2025-05-03T09:37:32Z","adv-009","camp-11111","food_enthusiast","IAB8","tablet","CA","3.08","1","3.08","1","1","0","pub-34567","0.94"
"bid-080","2025-05-03T09:39:55Z","adv-010","camp-22222","pet_owner","IAB16","mobile","TX","3.55","1","3.55","1","0","0","pub-90123","0.93"
