"content_category","device_type","session_duration_minutes","initial_ad_load_percent","optimal_ad_load_percent","viewer_retention_rate","revenue_per_session","bounce_rate","engagement_score","content_length_minutes","ad_frequency_per_hour","viewability_rate","completion_rate"
"IAB19-6","mobile","21.5","0.14","0.20","0.92","4.25","0.08","8.9","32.0","6.8","0.95","0.87"
"IAB19-6","desktop","36.8","0.16","0.22","0.94","6.90","0.06","9.6","48.0","7.6","0.97","0.90"
"IAB19-6","tablet","30.2","0.15","0.21","0.93","5.60","0.07","9.2","40.0","7.2","0.96","0.88"
"IAB13-3","mobile","18.1","0.12","0.17","0.87","3.45","0.13","8.3","26.0","5.8","0.94","0.82"
"IAB13-3","desktop","31.4","0.14","0.19","0.89","5.25","0.11","8.8","38.0","6.2","0.95","0.84"
"IAB13-3","tablet","26.1","0.13","0.18","0.88","4.35","0.12","8.5","32.0","6.0","0.94","0.83"
"IAB14-1","mobile","17.9","0.10","0.15","0.86","2.95","0.14","7.8","24.0","5.2","0.93","0.80"
"IAB14-1","desktop","30.6","0.12","0.17","0.88","4.70","0.12","8.4","36.0","5.6","0.94","0.82"
"IAB14-1","tablet","25.3","0.11","0.16","0.87","3.85","0.13","8.1","30.0","5.4","0.93","0.81"
"IAB18-6","mobile","22.7","0.16","0.23","0.94","5.15","0.06","9.3","34.0","7.4","0.96","0.89"
"IAB18-6","desktop","38.4","0.18","0.25","0.96","8.25","0.04","9.9","50.0","8.2","0.98","0.93"
"IAB18-6","tablet","32.1","0.17","0.24","0.95","6.70","0.05","9.6","42.0","7.8","0.97","0.91"
"IAB5-1","mobile","14.9","0.07","0.11","0.83","2.40","0.17","7.3","19.0","4.4","0.91","0.76"
"IAB5-1","desktop","26.3","0.09","0.13","0.85","3.85","0.15","7.9","29.0","4.8","0.92","0.78"
"IAB5-1","tablet","21.8","0.08","0.12","0.84","3.10","0.16","7.6","24.0","4.6","0.91","0.77 "
