"forecast_date","content_category","device_type","publisher_tier","predicted_impressions","confidence_interval_lower","confidence_interval_upper","historical_accuracy","demand_pressure_score","supply_constraints","seasonal_multiplier","event_impact","pricing_pressure","forecast_horizon_days"
"5/1/25","IAB1-2","mobile","premium","3180000","2862000","3498000","0.92","0.76","low","1.18","mothers_day","medium","30"
"5/1/25","IAB1-2","desktop","premium","2235000","2011500","2458500","0.94","0.79","low","1.15","mothers_day","medium","30"
"5/1/25","IAB1-2","tablet","premium","1435000","1291500","1578500","0.91","0.74","low","1.16","mothers_day","medium","30"
"5/1/25","IAB9-5","mobile","premium","1485000","1336500","1633500","0.93","0.8","medium","1.28","mothers_day","high","30"
"5/1/25","IAB9-5","desktop","premium","1085000","976500","1193500","0.94","0.82","medium","1.25","mothers_day","high","30"
"5/1/25","IAB9-5","tablet","premium","695000","625500","764500","0.92","0.78","medium","1.26","mothers_day","high","30"
"6/1/25","IAB1-2","mobile","premium","3385000","3046500","3723500","0.92","0.78","low","1.25","graduation","medium","30"
"6/1/25","IAB1-2","desktop","premium","2385000","2146500","2623500","0.94","0.81","low","1.22","graduation","medium","30"
"6/1/25","IAB1-2","tablet","premium","1535000","1381500","1688500","0.91","0.76","low","1.23","graduation","medium","30"
"6/1/25","IAB20-18","mobile","premium","1885000","1696500","2073500","0.93","0.84","medium","1.45","summer_travel","very_high","30"
"6/1/25","IAB20-18","desktop","premium","1535000","1381500","1688500","0.94","0.86","medium","1.42","summer_travel","very_high","30"
"6/1/25","IAB20-18","tablet","premium","1065000","958500","1171500","0.92","0.82","medium","1.43","summer_travel","very_high","30"
"7/1/25","IAB1-2","mobile","premium","3485000","3136500","3833500","0.92","0.79","low","1.28","summer_peak","high","30"
"7/1/25","IAB1-2","desktop","premium","2085000","1876500","2293500","0.94","0.76","low","1.18","summer_peak","medium","30"
"7/1/25","IAB1-2","tablet","premium","1385000","1246500","1523500","0.91","0.74","low","1.22","summer_peak","medium","30"
"8/1/25","IAB1-2","mobile","premium","3680000","3312000","4048000","0.92","0.81","medium","1.35","back_to_school","high","30"
"8/1/25","IAB1-2","desktop","premium","2485000","2236500","2733500","0.94","0.82","medium","1.28","back_to_school","high","30"
"8/1/25","IAB1-2","tablet","Premium","1635000","1471500","1798500","0.91","0.78","medium","1.3","back_to_school","high","30"
"9/1/25","IAB1-2","mobile","premium","3820000","3438000","4202000","0.92","0.83","medium","1.42","fall_season","high","30"
"9/1/25","IAB1-2","desktop","premium","2685000","2416500","2953500","0.94","0.84","medium","1.35","fall_season","high","30"
"9/1/25","IAB1-2","tablet","premium","1785000","1606500","1963500","0.91","0.8","medium","1.38","fall_season","high","30"
"10/1/25","IAB1-2","mobile","premium","4185000","3766500","4603500","0.92","0.86","high","1.58","halloween","very_high","30"
"10/1/25","IAB1-2","desktop","premium","2985000","2686500","3283500","0.94","0.87","high","1.48","halloween","very_high","30"
"10/1/25","IAB1-2","tablet","premium","1985000","1786500","2183500","0.91","0.83","high","1.52","halloween","very_high","30"
"11/1/25","IAB1-2","mobile","premium","4685000","4216500","5153500","0.92","0.91","very_high","1.75","black_friday","extreme","30"
"11/1/25","IAB1-2","desktop","premium","3485000","3136500","3833500","0.94","0.92","very_high","1.68","black_friday","extreme","30"
"11/1/25","IAB1-2","tablet","premium","2285000","2056500","2513500","0.91","0.88","very_high","1.71","black_friday","extreme","30"
"12/1/25","IAB1-2","mobile","premium","4485000","4036500","4933500","0.92","0.89","very_high","1.68","holiday_shopping","extreme","30"
"12/1/25","IAB1-2","desktop","Premium","3285000","2956500","3613500","0.94","0.9","very_high","1.62","holiday_shopping","extreme","30"
"12/1/25","IAB1-2","tablet","premium","2185000","1966500","2403500","0.91","0.86","very_high","1.65","holiday_shopping","extreme","30"
