"creative_id","creative_type","campaign_id","product_category","headline","cta_text","color_scheme","image_style","date","impressions","clicks","conversions","ctr","cvr","audience_segment","device_type","content_category","time_of_day","day_of_week"
"cr-86420","testimonial","camp-67890","electronics","Tech Experts Recommend","See Reviews","gray_blue","testimonial","2025-04-01","20000","500","20","0.025","0.04","tech_enthusiast","tablet","IAB4-3","morning","wednesday"
"cr-86420","testimonial","camp-67890","electronics","Tech Experts Recommend","See Reviews","gray_blue","testimonial","2025-04-02","21000","525","21","0.025","0.04","tech_enthusiast","tablet","IAB4-3","morning","thursday"
"cr-86420","testimonial","camp-67890","electronics","Tech Experts Recommend","See Reviews","gray_blue","testimonial","2025-04-03","22000","550","22","0.025","0.04","tech_enthusiast","tablet","IAB4-3","morning","friday"
"cr-35791","lifestyle","camp-24680","fashion","Elevate Your Style","Shop Collection","pink_white","lifestyle","2025-04-01","30000","1200","60","0.04","0.05","fashion_enthusiast","mobile","IAB9-5","evening","wednesday"
"cr-35791","lifestyle","camp-24680","fashion","Elevate Your Style","Shop Collection","pink_white","lifestyle","2025-04-02","31000","1240","62","0.04","0.05","fashion_enthusiast","mobile","IAB9-5","evening","thursday"
"cr-35791","lifestyle","camp-24680","fashion","Elevate Your Style","Shop Collection","pink_white","lifestyle","2025-04-03","32000","1280","64","0.04","0.05","fashion_enthusiast","mobile","IAB9-5","evening","friday"
"cr-80246","product_showcase","camp-24680","fashion","Spring Collection 2025","View Now","white_gold","product_focused","2025-04-01","30000","1050","53","0.035","0.05","fashion_enthusiast","desktop","IAB9-5","afternoon","wednesday"
"cr-80246","product_showcase","camp-24680","fashion","Spring Collection 2025","View Now","white_gold","product_focused","2025-04-02","31000","1085","54","0.035","0.05","fashion_enthusiast","desktop","IAB9-5","afternoon","thursday"
"cr-80246","product_showcase","camp-24680","fashion","Spring Collection 2025","View Now","white_gold","product_focused","2025-04-03","32000","1120","56","0.035","0.05","fashion_enthusiast","desktop","IAB9-5","afternoon","friday"
"cr-15937","testimonial","camp-24680","fashion","Fashion Influencers Love It","See Styles","black_pink","testimonial","2025-04-01","30000","1350","68","0.045","0.05","fashion_enthusiast","tablet","IAB9-5","morning","wednesday"
"cr-15937","testimonial","camp-24680","fashion","Fashion Influencers Love It","See Styles","black_pink","testimonial","2025-04-02","31000","1395","70","0.045","0.05","fashion_enthusiast","tablet","IAB9-5","morning","thursday"
"cr-15937","testimonial","camp-24680","fashion","Fashion Influencers Love It","See Styles","black_pink","testimonial","2025-04-03","32000","1440","72","0.045","0.05","fashion_enthusiast","tablet","IAB9-5","morning","friday"
"cr-24601","lifestyle","camp-13579","home_decor","Transform Your Space","Shop Now","green_beige","lifestyle","2025-04-01","18000","540","22","0.03","0.04","home_enthusiast","mobile","IAB6-8","afternoon","wednesday"
"cr-24601","lifestyle","camp-13579","home_decor","Transform Your Space","Shop Now","green_beige","lifestyle","2025-04-02","19000","570","23","0.03","0.04","home_enthusiast","mobile","IAB6-8","afternoon","thursday"
"cr-24601","lifestyle","camp-13579","home_decor","Transform Your Space","Shop Now","green_beige","lifestyle","2025-04-03","20000","600","24","0.03","0.04","home_enthusiast","mobile","IAB6-8","afternoon","friday"
"cr-36925","product_showcase","camp-13579","home_decor","Interior Inspiration 2025","Explore","white_wood","product_focused","2025-04-01","18000","630","25","0.035","0.04","home_enthusiast","desktop","IAB6-8","evening","wednesday"
"cr-36925","product_showcase","camp-13579","home_decor","Interior Inspiration 2025","Explore","white_wood","product_focused","2025-04-02","19000","665","27","0.035","0.04","home_enthusiast","desktop","IAB6-8","evening","thursday"
"cr-36925","product_showcase","camp-13579","home_decor","Interior Inspiration 2025","Explore","white_wood","product_focused","2025-04-03","20000","700","28","0.035","0.04","home_enthusiast","desktop","IAB6-8","evening","friday"
"cr-48159","testimonial","camp-13579","home_decor","Designer Approved","Get Inspired","beige_brown","testimonial","2025-04-01","18000","450","18","0.025","0.04","home_enthusiast","tablet","IAB6-8","morning","wednesday"
"cr-48159","testimonial","camp-13579","home_decor","Designer Approved","Get Inspired","beige_brown","testimonial","2025-04-02","19000","475","19","0.025","0.04","home_enthusiast","tablet","IAB6-8","morning","thursday"
"cr-48159","testimonial","camp-13579","home_decor","Designer Approved","Get Inspired","beige_brown","testimonial","2025-04-03","20000","500","20","0.025","0.04","home_enthusiast","tablet","IAB6-8","morning","friday"
"cr-59371","lifestyle","camp-97531","travel","Discover Your Next Adventure","Book Now","blue_orange","lifestyle","2025-04-01","25000","1000","40","0.04","0.04","travel_enthusiast","mobile","IAB20-18","evening","wednesday"
"cr-59371","lifestyle","camp-97531","travel","Discover Your Next Adventure","Book Now","blue_orange","lifestyle","2025-04-02","26000","1040","42","0.04","0.04","travel_enthusiast","mobile","IAB20-18","evening","thursday"
"cr-59371","lifestyle","camp-97531","travel","Discover Your Next Adventure","Book Now","blue_orange","lifestyle","2025-04-03","27000","1080","43","0.04","0.04","travel_enthusiast","mobile","IAB20-18","evening","friday"
"cr-71482","product_showcase","camp-97531","travel","Summer Getaways 2025","View Deals","white_blue","product_focused","2025-04-01","25000","875","35","0.035","0.04","travel_enthusiast","desktop","IAB20-18","afternoon","wednesday"
"cr-71482","product_showcase","camp-97531","travel","Summer Getaways 2025","View Deals","white_blue","product_focused","2025-04-02","26000","910","36","0.035","0.04","travel_enthusiast","desktop","IAB20-18","afternoon","thursday"
"cr-71482","product_showcase","camp-97531","travel","Summer Getaways 2025","View Deals","white_blue","product_focused","2025-04-03","27000","945","38","0.035","0.04","travel_enthusiast","desktop","IAB20-18","afternoon","friday"
"cr-82593","testimonial","camp-97531","travel","Travelers Love Our Destinations","Read Stories","teal_white","testimonial","2025-04-01","25000","750","30","0.03","0.04","travel_enthusiast","tablet","IAB20-18","morning","wednesday"
"cr-82593","testimonial","camp-97531","travel","Travelers Love Our Destinations","Read Stories","teal_white","testimonial","2025-04-02","26000","780","31","0.03","0.04","travel_enthusiast","tablet","IAB20-18","morning","thursday"
"cr-82593","testimonial","camp-97531","travel","Travelers Love Our Destinations","Read Stories","teal_white","testimonial","2025-04-03","27000","810","32","0.03","0.04","travel_enthusiast","tablet","IAB20-18","morning","friday"
"cr-11111","lifestyle","camp-11111","food_delivery","Meals Made Easy","Order Now","red_orange","lifestyle","2025-04-01","36000","1800","90","0.05","0.05","food_enthusiast","mobile","IAB8-5","evening","wednesday"
"cr-11111","lifestyle","camp-11111","food_delivery","Meals Made Easy","Order Now","red_orange","lifestyle","2025-04-02","37000","1850","93","0.05","0.05","food_enthusiast","mobile","IAB8-5","evening","thursday"
"cr-11111","lifestyle","camp-11111","food_delivery","Meals Made Easy","Order Now","red_orange","lifestyle","2025-04-03","38000","1900","95","0.05","0.05","food_enthusiast","mobile","IAB8-5","evening","friday"
"cr-22222","product_showcase","camp-22222","pet_care","Your Pet Deserves the Best","Shop Pet Care","blue_green","product_focused","2025-04-01","19000","570","34","0.03","0.06","pet_owner","tablet","IAB16-5","afternoon","wednesday"
"cr-22222","product_showcase","camp-22222","pet_care","Your Pet Deserves the Best","Shop Pet Care","blue_green","product_focused","2025-04-02","20000","600","36","0.03","0.06","pet_owner","tablet","IAB16-5","afternoon","thursday"
"cr-22222","product_showcase","camp-22222","pet_care","Your Pet Deserves the Best","Shop Pet Care","blue_green","product_focused","2025-04-03","21000","630","38","0.03","0.06","pet_owner","tablet","IAB16-5","afternoon","friday"
"cr-33333","lifestyle","camp-33333","ecommerce","Flash Sale Alert","Shop Deals","purple_yellow","lifestyle","2025-04-01","50000","2500","125","0.05","0.05","deal_seeker","mobile","IAB9-7","evening","wednesday"
"cr-33333","lifestyle","camp-33333","ecommerce","Flash Sale Alert","Shop Deals","purple_yellow","lifestyle","2025-04-02","51000","2550","128","0.05","0.05","deal_seeker","mobile","IAB9-7","evening","thursday"
"cr-33333","lifestyle","camp-33333","ecommerce","Flash Sale Alert","Shop Deals","purple_yellow","lifestyle","2025-04-03","52000","2600","130","0.05","0.05","deal_seeker","mobile","IAB9-7","evening","friday"
"cr-44444","testimonial","camp-44444","ai_tech","AI Revolution Starts Here","Learn More","silver_blue","testimonial","2025-04-01","13000","390","20","0.03","0.05","tech_early_adopter","desktop","IAB19-6","morning","wednesday"
"cr-44444","testimonial","camp-44444","ai_tech","AI Revolution Starts Here","Learn More","silver_blue","testimonial","2025-04-02","14000","420","21","0.03","0.05","tech_early_adopter","desktop","IAB19-6","morning","thursday"
"cr-44444","testimonial","camp-44444","ai_tech","AI Revolution Starts Here","Learn More","silver_blue","testimonial","2025-04-03","15000","450","23","0.03","0.05","tech_early_adopter","desktop","IAB19-6","morning","friday"
"cr-55555","product_showcase","camp-55555","crypto","Digital Assets Made Simple","Start Trading","black_gold","product_focused","2025-04-01","15000","450","18","0.03","0.04","crypto_investor","desktop","IAB13-3","evening","wednesday"
"cr-55555","product_showcase","camp-55555","crypto","Digital Assets Made Simple","Start Trading","black_gold","product_focused","2025-04-02","16000","480","19","0.03","0.04","crypto_investor","desktop","IAB13-3","evening","thursday"
"cr-55555","product_showcase","camp-55555","crypto","Digital Assets Made Simple","Start Trading","black_gold","product_focused","2025-04-03","17000","510","20","0.03","0.04","crypto_investor","desktop","IAB13-3","evening","friday"
"cr-66666","lifestyle","camp-66666","streaming","Endless Entertainment","Watch Now","black_red","lifestyle","2025-04-01","28000","1400","56","0.05","0.04","entertainment_seeker","mobile","IAB1-2","night","wednesday"
"cr-66666","lifestyle","camp-66666","streaming","Endless Entertainment","Watch Now","black_red","lifestyle","2025-04-02","29000","1450","58","0.05","0.04","entertainment_seeker","mobile","IAB1-2","night","thursday"
"cr-66666","lifestyle","camp-66666","streaming","Endless Entertainment","Watch Now","black_red","lifestyle","2025-04-03","30000","1500","60","0.05","0.04","entertainment_seeker","mobile","IAB1-2","night","friday"
"cr-77777","testimonial","camp-77777","sustainability","Eco-Friendly Living","Go Green","green_white","testimonial","2025-04-01","17000","680","27","0.04","0.04","sustainability_conscious","tablet","IAB14-1","afternoon","wednesday"
"cr-77777","testimonial","camp-77777","sustainability","Eco-Friendly Living","Go Green","green_white","testimonial","2025-04-02","18000","720","29","0.04","0.04","sustainability_conscious","tablet","IAB14-1","afternoon","thursday"
"cr-77777","testimonial","camp-77777","sustainability","Eco-Friendly Living","Go Green","green_white","testimonial","2025-04-03","19000","760","30","0.04","0.04","sustainability_conscious","tablet","IAB14-1","afternoon","friday"
"cr-88888","lifestyle","camp-88888","luxury","Exclusive Luxury Collection","Explore Elite","gold_black","lifestyle","2025-04-01","7000","210","8","0.03","0.04","luxury_consumer","desktop","IAB18-6","evening","wednesday"
"cr-88888","lifestyle","camp-88888","luxury","Exclusive Luxury Collection","Explore Elite","gold_black","lifestyle","2025-04-02","7200","216","9","0.03","0.04","luxury_consumer","desktop","IAB18-6","evening","thursday"
"cr-88888","lifestyle","camp-88888","luxury","Exclusive Luxury Collection","Explore Elite","gold_black","lifestyle","2025-04-03","7400","222","9","0.03","0.04","luxury_consumer","desktop","IAB18-6","evening","friday"
"cr-99999","product_showcase","camp-99999","education","Master New Skills Online","Enroll Today","blue_orange","product_focused","2025-04-01","24000","720","36","0.03","0.05","student","mobile","IAB5-1","afternoon","wednesday"
"cr-99999","product_showcase","camp-99999","education","Master New Skills Online","Enroll Today","blue_orange","product_focused","2025-04-02","25000","750","38","0.03","0.05","student","mobile","IAB5-1","afternoon","thursday"
"cr-99999","product_showcase","camp-99999","education","Master New Skills Online","Enroll Today","blue_orange","product_focused","2025-04-03","26000","780","39","0.03","0.05","student","mobile","IAB5-1","afternoon","friday"
