"date","ad_format","device_type","publisher_type","content_category","impressions_served","revenue_usd","cpm_usd","fill_rate","viewability_rate","completion_rate","click_through_rate","conversion_rate","advertiser_demand_tier","floor_price_usd","winning_bid_usd"
"2025-01-15","video_pre_roll","tablet","premium_publisher","IAB13-6","18000","648.00","36.00","0.95","0.95","0.88","0.116","0.078","tier_1","29.50","38.75"
"2025-01-15","interstitial","mobile","premium_publisher","IAB1-2","15000","450.00","30.00","0.78","0.95","0.00","0.125","0.078","tier_1","22.50","32.15"
"2025-01-15","interstitial","tablet","premium_publisher","IAB1-2","8000","216.00","27.00","0.80","0.93","0.00","0.118","0.072","tier_1","20.00","28.85"
"2025-01-15","rewarded_video","mobile","premium_publisher","IAB9-30","12000","600.00","50.00","0.96","0.97","0.92","0.187","0.125","tier_1","40.00","53.25"
"2025-01-15","rewarded_video","tablet","premium_publisher","IAB9-30","7000","329.00","47.00","0.95","0.96","0.89","0.172","0.118","tier_1","37.50","49.85"
"2025-01-15","audio_podcast","mobile","premium_publisher","IAB1-2","95000","665.00","7.00","0.91","0.00","0.00","0.058","0.042","tier_1","5.25","7.45"
"2025-01-15","audio_podcast","desktop","premium_publisher","IAB1-2","78000","624.00","8.00","0.93","0.00","0.00","0.062","0.045","tier_1","6.00","8.25"
"2025-01-15","ctv_video","connected_tv","premium_publisher","IAB1-2","18000","900.00","50.00","0.97","0.98","0.88","0.153","0.098","tier_1","42.00","53.75"
"2025-01-16","display_banner","mobile","premium_publisher","IAB1-2","128000","601.60","4.70","0.93","0.76","0.00","0.029","0.025","tier_1","3.35","5.02"
"2025-01-16","display_banner","desktop","premium_publisher","IAB1-2","101000","636.30","6.30","0.95","0.83","0.00","0.033","0.029","tier_1","4.65","6.42"
"2025-01-16","display_banner","tablet","premium_publisher","IAB1-2","69000","362.25","5.25","0.91","0.80","0.00","0.031","0.027","tier_1","3.90","5.52"
"2025-01-16","video_pre_roll","mobile","premium_publisher","IAB1-2","47000","1175.00","25.00","0.89","0.89","0.79","0.087","0.053","tier_1","18.75","26.85"
"2025-01-16","video_pre_roll","desktop","premium_publisher","IAB1-2","40000","1160.00","29.00","0.92","0.93","0.83","0.094","0.059","tier_1","22.50","31.25"
"2025-01-16","video_pre_roll","tablet","premium_publisher","IAB1-2","30000","810.00","27.00","0.90","0.91","0.81","0.090","0.056","tier_1","20.75","28.65"
"2025-01-16","native_feed","mobile","premium_publisher","IAB1-2","88000","739.20","8.40","0.87","0.73","0.00","0.043","0.033","tier_1","6.15","8.88"
"2025-01-16","native_feed","desktop","premium_publisher","IAB1-2","54000","448.20","8.30","0.89","0.77","0.00","0.039","0.030","tier_1","6.65","8.52"
"2025-01-16","native_feed","tablet","premium_publisher","IAB1-2","37000","314.95","8.51","0.88","0.75","0.00","0.041","0.031","tier_1","6.40","8.75"
"2025-01-16","interstitial","mobile","premium_publisher","IAB1-2","16000","512.00","32.00","0.79","0.95","0.00","0.127","0.080","tier_1","23.50","34.25"
"2025-01-16","interstitial","tablet","premium_publisher","IAB1-2","9000","256.50","28.50","0.81","0.93","0.00","0.120","0.074","tier_1","21.00","30.45"
"2025-01-16","rewarded_video","mobile","premium_publisher","IAB9-30","13000","663.00","51.00","0.96","0.97","0.93","0.189","0.127","tier_1","41.00","54.75"
"2025-01-16","rewarded_video","tablet","premium_publisher","IAB9-30","8000","384.00","48.00","0.95","0.96","0.90","0.174","0.120","tier_1","38.50","51.25"
"2025-01-16","ctv_video","connected_tv","premium_publisher","IAB1-2","19000","988.00","52.00","0.97","0.98","0.89","0.155","0.100","tier_1","43.00","55.85 "
