"campaign_id","campaign_duration_days","total_budget_usd","pacing_strategy","week_1_spend_percent","week_2_spend_percent","week_3_spend_percent","week_4_spend_percent","performance_score","conversion_rate","cost_per_conversion","reach_efficiency","frequency_cap","dayparting_enabled","weekend_multiplier","budget_burn_rate","optimization_score"
"camp_pace_029","28","62000","rhythmic","0.26","0.24","0.26","0.24","7.9","0.030","46.67","0.85","3.0","true","1.14","0.034","0.79"
"camp_pace_030","35","92000","escalating","0.19","0.23","0.29","0.29","8.3","0.033","45.45","0.89","2.4","true","1.05","0.028","0.83"
"camp_pace_031","14","32000","rapid","0.42","0.33","0.25","0.00","6.9","0.022","59.09","0.77","4.6","false","1.32","0.051","0.69"
"camp_pace_032","28","54000","measured","0.24","0.25","0.26","0.25","7.7","0.028","50.00","0.83","3.2","true","1.12","0.035","0.77"
"camp_pace_033","42","118000","patient","0.21","0.23","0.27","0.29","8.6","0.036","38.89","0.92","2.2","true","1.02","0.025","0.86"
"camp_pace_034","21","36000","dynamic","0.35","0.30","0.35","0.00","7.1","0.024","55.56","0.79","4.2","true","1.24","0.044","0.71"
"camp_pace_035","28","56000","controlled","0.23","0.25","0.27","0.25","7.8","0.029","48.28","0.84","3.1","true","1.10","0.034","0.78"
"camp_pace_036","35","86000","methodical","0.21","0.24","0.27","0.28","8.2","0.032","46.88","0.88","2.5","true","1.06","0.029","0.82"
"camp_pace_037","14","26000","urgent","0.48","0.32","0.20","0.00","6.6","0.020","65.00","0.75","5.2","false","1.35","0.056","0.66"
"camp_pace_038","28","64000","strategic","0.22","0.26","0.28","0.24","8.0","0.031","47.37","0.87","2.8","true","1.08","0.032","0.80"
"camp_pace_039","42","122000","persistent","0.20","0.23","0.28","0.29","8.7","0.037","37.84","0.93","2.1","true","1.01","0.024","0.87"
"camp_pace_040","21","44000","focused","0.36","0.31","0.33","0.00","7.2","0.025","52.27","0.80","3.9","true","1.23","0.043","0.72 "
