"ad_format","device_type","content_category","placement_position","ctr_percent","conversion_rate","viewability_rate","engagement_score","revenue_per_impression","cost_per_click","brand_safety_score","user_experience_score","load_time_ms","video_completion_rate"
"display_banner","tablet","IAB17-16","above_fold","2.7","0.023","0.75","7.1","0.0042","1.87","0.91","6.7","238","0.00"
"video_pre_roll","mobile","IAB17-16","start","7.8","0.048","0.85","8.8","0.0112","2.42","0.93","8.2","1285","0.75"
"video_pre_roll","desktop","IAB17-16","start","8.6","0.053","0.89","9.2","0.0128","2.35","0.94","8.6","1020","0.79"
"video_pre_roll","tablet","IAB17-16","start","8.2","0.050","0.87","9.0","0.0120","2.38","0.93","8.4","1155","0.77"
"display_banner","mobile","IAB4-3","above_fold","3.5","0.031","0.78","8.1","0.0058","1.65","0.94","7.5","235","0.00"
"display_banner","desktop","IAB4-3","above_fold","4.1","0.036","0.84","8.6","0.0067","1.58","0.96","7.9","185","0.00"
"display_banner","tablet","IAB4-3","above_fold","3.8","0.033","0.81","8.3","0.0062","1.61","0.95","7.7","210","0.00"
"video_pre_roll","mobile","IAB4-3","start","9.8","0.062","0.91","9.6","0.0155","2.18","0.97","9.2","1180","0.83"
"video_pre_roll","desktop","IAB4-3","start","10.6","0.068","0.94","9.9","0.0172","2.12","0.98","9.6","945","0.87"
"video_pre_roll","tablet","IAB4-3","start","10.2","0.065","0.92","9.7","0.0163","2.15","0.97","9.4","1065","0.85"
"native_feed","mobile","IAB4-3","in_feed","5.1","0.038","0.76","8.2","0.0082","2.05","0.92","8.0","385","0.00"
"native_feed","desktop","IAB4-3","in_feed","4.6","0.034","0.80","7.9","0.0074","2.11","0.94","7.7","325","0.00"
"native_feed","tablet","IAB4-3","in_feed","4.8","0.036","0.78","8.0","0.0078","2.08","0.93","7.8","355","0.00"
"display_banner","mobile","IAB13-6","above_fold","4.2","0.038","0.81","8.4","0.0072","1.52","0.95","7.8","225","0.00"
"display_banner","desktop","IAB13-6","above_fold","4.8","0.043","0.86","8.9","0.0083","1.46","0.97","8.3","175","0.00"
"display_banner","tablet","IAB13-6","above_fold","4.5","0.040","0.83","8.6","0.0077","1.49","0.96","8.0","200","0.00"
"video_pre_roll","mobile","IAB13-6","start","11.2","0.075","0.94","9.8","0.0188","2.05","0.98","9.5","1145","0.86"
"video_pre_roll","desktop","IAB13-6","start","12.1","0.082","0.96","10.0","0.0208","1.98","0.99","9.8","910","0.90"
"video_pre_roll","tablet","IAB13-6","start","11.6","0.078","0.95","9.9","0.0198","2.01","0.98","9.6","1025","0.88"
"audio_podcast","mobile","IAB1-2","audio_only","5.8","0.042","0.00","8.1","0.0089","2.28","0.96","8.3","0","0.00"
"audio_podcast","desktop","IAB1-2","audio_only","6.2","0.045","0.00","8.5","0.0095","2.22","0.97","8.6","0","0.00"
"ctv_video","connected_tv","IAB1-2","tv_screen","15.3","0.098","0.98","9.9","0.0245","3.12","0.98","9.7","3250","0.88"
"display_banner","mobile","IAB9-5","above_fold","3.1","0.027","0.74","7.6","0.0051","1.72","0.92","7.1","252","0.00"
"display_banner","desktop","IAB9-5","above_fold","3.6","0.031","0.80","8.0","0.0059","1.65","0.94","7.5","195","0.00"
"display_banner","tablet","IAB9-5","above_fold","3.3","0.029","0.77","7.8","0.0055","1.68","0.93","7.3","223","0.00"
"video_pre_roll","mobile","IAB9-5","start","8.9","0.056","0.89","9.3","0.0138","2.25","0.95","8.8","1205","0.81"
"video_pre_roll","desktop","IAB9-5","start","9.7","0.061","0.92","9.6","0.0155","2.18","0.96","9.1","965","0.84"
"video_pre_roll","tablet","IAB9-5","start","9.3","0.058","0.90","9.4","0.0146","2.21","0.95","8.9","1085","0.82 "
