"placement_type","ad_format","device_type","content_category","iab_standard_viewability","custom_viewability_threshold","measured_viewability_rate","viewport_visibility_percent","time_in_view_seconds","scroll_depth_when_visible","interaction_overlap_rate","brand_safety_score","fraud_score","attention_score"
"video","pre-roll","mobile","IAB4-3","0.50","0.70","0.88","91.5","9.6","0.11","0.09","0.97","0.01","9.6"
"video","pre-roll","desktop","IAB4-3","0.50","0.70","0.92","95.2","10.8","0.08","0.07","0.98","0.01","9.9"
"video","pre-roll","tablet","IAB4-3","0.50","0.70","0.90","93.4","10.2","0.09","0.08","0.97","0.01","9.7"
"native","in-feed","mobile","IAB4-3","0.50","0.60","0.73","76.1","2.8","0.51","0.11","0.92","0.05","7.7"
"native","in-feed","desktop","IAB4-3","0.50","0.60","0.79","81.4","3.4","0.45","0.09","0.94","0.04","8.2"
"native","in-feed","tablet","IAB4-3","0.50","0.60","0.76","78.9","3.1","0.48","0.10","0.93","0.04","8.0"
"banner","display","mobile","IAB9-5","0.50","0.65","0.74","78.6","3.0","0.43","0.07","0.92","0.04","7.8"
"banner","display","desktop","IAB9-5","0.50","0.65","0.80","84.3","3.6","0.36","0.05","0.94","0.03","8.3"
"banner","display","tablet","IAB9-5","0.50","0.65","0.77","81.7","3.3","0.39","0.06","0.93","0.03","8.1"
"video","pre-roll","mobile","IAB9-5","0.50","0.70","0.86","89.7","9.1","0.14","0.10","0.95","0.02","9.3"
"video","pre-roll","desktop","IAB9-5","0.50","0.70","0.90","93.8","10.3","0.11","0.08","0.96","0.01","9.7"
"video","pre-roll","tablet","IAB9-5","0.50","0.70","0.88","91.9","9.7","0.12","0.09","0.95","0.02","9.5"
"native","in-feed","mobile","IAB9-5","0.50","0.60","0.70","73.5","2.5","0.54","0.13","0.90","0.06","7.3"
"native","in-feed","desktop","IAB9-5","0.50","0.60","0.76","78.2","3.1","0.48","0.11","0.92","0.05","7.8"
"native","in-feed","tablet","IAB9-5","0.50","0.60","0.73","75.9","2.8","0.51","0.12","0.91","0.05","7.6"
"banner","display","mobile","IAB13-6","0.50","0.65","0.80","85.1","3.7","0.35","0.04","0.95","0.02","8.4"
"banner","display","desktop","IAB13-6","0.50","0.65","0.86","90.4","4.3","0.28","0.03","0.97","0.01","8.9"
"banner","display","tablet","IAB13-6","0.50","0.65","0.83","87.8","4.0","0.31","0.03","0.96","0.02","8.7"
"video","pre-roll","mobile","IAB13-6","0.50","0.70","0.91","94.2","10.5","0.07","0.06","0.98","0.01","9.8"
"video","pre-roll","desktop","IAB13-6","0.50","0.70","0.95","97.6","11.7","0.04","0.04","0.99","0.00","10.0"
"video","pre-roll","tablet","IAB13-6","0.50","0.70","0.93","95.9","11.1","0.05","0.05","0.98","0.01","9.9"
"native","in-feed","mobile","IAB13-6","0.50","0.60","0.77","80.3","3.2","0.46","0.08","0.94","0.03","8.1"
"native","in-feed","desktop","IAB13-6","0.50","0.60","0.83","85.7","3.8","0.40","0.06","0.96","0.02","8.6"
"native","in-feed","tablet","IAB13-6","0.50","0.60","0.80","83.0","3.5","0.43","0.07","0.95","0.02","8.4"
"interstitial","full-screen","mobile","IAB1-2","0.50","0.80","0.92","96.8","4.2","0.00","0.18","0.88","0.12","8.9"
"interstitial","full-screen","tablet","IAB1-2","0.50","0.80","0.90","94.5","3.8","0.00","0.15","0.90","0.10","8.7"
"rewarded","video","mobile","IAB9-30","0.50","0.85","0.96","98.7","15.6","0.00","0.22","0.95","0.03","9.8"
"rewarded","video","tablet","IAB9-30","0.50","0.85","0.94","97.1","14.2","0.00","0.20","0.94","0.04","9.6"
"audio","podcast","mobile","IAB1-2","0.00","0.80","0.88","0.0","45.3","0.00","0.00","0.96","0.02","8.5"
"audio","podcast","desktop","IAB1-2","0.00","0.80","0.91","0.0","52.7","0.00","0.00","0.97","0.01","8.8"
"ctv","video","connected_tv","IAB1-2","0.50","0.90","0.97","99.2","28.6","0.00","0.05","0.98","0.01","9.9 "
